Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;;;;;;;;;;
INS_Instelling;Instellingscode;TRUE;subset;9,232413;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Versie_1CHO_jaar;;FALSE;numeric;9,201656;1817,1;2220,9;NA;FALSE;;;;;;;;;;;
INS_Studentnummer;PersoonsgebondenNummer;TRUE;numeric;9,201656;1;9999999;NA;FALSE;;;;;;;;;;;
INS_Inschrijvingsjaar;Inschrijvingsjaar;TRUE;numeric;9,201656;1809;2220,9;NA;FALSE;;;;;;;;;;;
INS_Inschrijvingsjaar_EOI;EersteJaarAanDezeInstelling;TRUE;numeric;9,945008;1788,3;2220,9;NA;FALSE;;;;;;;;;;;
INS_Studierichting_SAP_numeriek;;FALSE;numeric;9,232413;45039211,2;57085083;NA;FALSE;;;;;;;;;;;
INS_Soort_inschrijving_1CHO_code;SoortInschrijvingHogerOnderwijs;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;;;;;;;;;;
INS_Soort_inschrijving_actuele_instelling;SoortInschrijvingActueleInstelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;;;;;;;;;;
INS_Opleidingsfase_actueel_code;OpleidingsfaseActueel;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Indicatie_actief_op_peildatum_code;IndicatieActiefOpPeildatum;TRUE;numeric;9,201656;0,9;4,4;NA;FALSE;;;;;;;;;;;
OPL_Code_in_jaar;OpleidingActueelEquivalent;TRUE;numeric;9,201656;5000;80000;NA;FALSE;;;;;;;;;;;
INS_Opleidingsnaam_2002;;FALSE;character;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Indicatie_eerste_jaars_opleiding;IndicatieEerstejaarsOpleidingActueelEquivalent;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;;;;;;;;;;
INS_Indicatie_eerste_jaars_instelling;IndicatieEerstejaarsActueleInstelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;;;;;;;;;;
INS_Indicatie_eerste_jaars_opleiding_en_instelling;IndicatieEerstejaarsActueleOplInstelling;TRUE;numeric;9,201656;0,9;5,5;NA;FALSE;;;;;;;;;;;
INS_Eerste_jaar_opleiding_en_instelling;EersteJaarAanDezeOpleidingInstelling;TRUE;numeric;9,201656;1783,8;2220,9;NA;FALSE;;;;;;;;;;;
INS_Eerste_jaar_hoger_onderwijs;EersteJaarInHetHogerOnderwijs;TRUE;numeric;9,201656;1767,6;2220,9;NA;FALSE;;;;;;;;;;;
INS_Eerste_jaar_soort_hoger_onderwijs;EersteJaarAanDezeSoortHogerOnderwijs;TRUE;numeric;9,201656;1767,6;2220,9;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_code;HoogsteVooropleidingVoorHetHoOorspronkelijkeCode;TRUE;numeric;11,878679;96,3;556,6;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_jaar;DiplomajaarVanDeHoogsteVooroplVoorHetHo;TRUE;numeric;67,106358;1770,3;2219,8;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_cat;HoogsteVooropleidingVoorHetHo;TRUE;subset;19,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_BRIN;InstellingVanDeHoogsteVooroplBinnenHetHo;TRUE;character;25,941638;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_binnen_HO_code;HoogsteVooropleidingBinnenHetHo;TRUE;numeric;67,106358;540;1489,4;NA;FALSE;gekke naam;;;;;;;;;;
INS_Vooropleiding_binnen_HO_jaar;DiplomajaarVanDeHoogsteVooroplBinnenHetHo;TRUE;numeric;67,106358;1770,3;2219,8;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_binnen_HO_cat;;FALSE;subset;67,106358;NA;NA;NA;FALSE;INS_Vooropleiding_binnen_HO_soort, zit dit in mapping table;;;;;;;;;;
INS_Vooropleiding_binnen_HO_BRIN;InstellingVanDeHoogsteVooroplVoorHetHo;TRUE;character;68,422102;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Hoogste_vooropleiding_code_1CHO;HoogsteVooropleiding;TRUE;numeric;11,269539;114,3;1489,4;NA;FALSE;;;;;;;;;;;
INS_Hoogste_vooropleiding_jaar_1CHO;DiplomajaarHoogsteVooropleiding;TRUE;numeric;11,270338;1766,7;2219,8;NA;FALSE;;;;;;;;;;;
INS_Hoogste_vooropleiding_cat;;FALSE;subset;119,201656;NA;NA;NA;FALSE;INS_Hoogste_vooropleiding_soort_1CHO, zit dit in mapping table;;;;;;;;;;
INS_Hoogste_vooropleiding_BRIN_1CHO;InstellingVanDeHoogsteVooropleiding;TRUE;character;21,882964;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Verblijfsjaren_hoger_onderwijs;VerblijfsjaarHogerOnderwijs;TRUE;numeric;15,040618;0,9;39,6;NA;FALSE;;;;;;;;;;;
INS_Verblijfsjaren_wetenschappelijk_onderwijs;VerblijfsjaarSoortHo;TRUE;numeric;15,040618;0,9;39,6;NA;FALSE;;;;;;;;;;;
INS_Inclusief_UvA;;FALSE;subset;9,201656;NA;NA;NA;FALSE;wat doen we hier mee?;;;;;;;;;;
INS_Premaster;;FALSE;subset;9,201656;NA;NA;NA;FALSE;vanaf 2020 zitten schakelprogramma's erin, historisch niet, nanny code waarschijnlijk premaster;;;;;;;;;;
INS_Vooropleiding_binnen_HO_oorspronkelijke_code;HoogsteVooropleidingBinnenHetHoOorspronkelijkeCode;TRUE;integer;67,106358;468;89100;NA;FALSE;Hoogste uit naam gehaald;;;;;;;;;;
INS_Faculteit;;FALSE;subset;9,201656;NA;NA;[A-Z]{2};FALSE;;;;;;;;;;;
INS_Opleidingsvorm_naam;Opleidingsvorm;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Code_bekostiging;BekostigingsCode;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Examenresultaat_code;ExamenresultaatCode;TRUE;numeric;92,377902;0,9;9,9;NA;FALSE;;;;;;;;;;;
OPL_croho_onderdeel_code;CrohoOnderdeelActueleOpleiding;TRUE;numeric;12,5729;0,9;9,9;NA;FALSE;dit was: INS_Opleidingscode_CROHO, heel verwarrende naam, het is croho onderdeel code;;;;;;;;;;
INS_Code_beeindiging_inschrijving;BeeindigingsCode;TRUE;numeric;9,201656;0;9,9;NA;FALSE;;;;;;;;;;;
INS_Type_onderwijs;TypeHogerOnderwijsBinnenSoortHogerOnderwijs;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Diplomajaar;Diplomajaar;TRUE;numeric;92,377902;1808,1;2220,9;NA;FALSE;;;;;;;;;;;
INS_Diploma_opleidingsfase;OpleidingsfaseActueelVanHetDiploma;TRUE;subset;92,377902;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste;SoortDiplomaHogerOnderwijsInternatStatistiek;TRUE;numeric;92,377902;0,9;2,2;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_in_categorie;SoortDiplomaHogerOnderwijs;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_in_categorie_hoofd_neven;SoortDiplomaSoortHogerOnderwijs;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_bij_instelling_hoofd_neven;SoortDiplomaInstelling;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
DEM_Geslacht_code;Geslacht;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
DEM_Leeftijd_peildatum_1_oktober;LeeftijdPerPeildatum1Oktober;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;;;;;;;;;;
DEM_Leeftijd_peildatum_1_jan;LeeftijdPer1Januari;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_1;Nationaliteit1;TRUE;numeric;9,279147;0,9;548,9;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_2;Nationaliteit2;TRUE;numeric;103,681554;24,3;548,9;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_3;Nationaliteit3;TRUE;integer;119,031497;26,1;550;NA;FALSE;;;;;;;;;;;
INS_Postcode_student_1okt_peildatum;PostcodecijfersStudentOp1Oktober;TRUE;integer;9,800412;9;10973,6;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_gem_cijfer;GemEindcijferVoVanDeHoogsteVooroplVoorHetHo;TRUE;numeric;37,923932;51,3;104,5;NA;FALSE;;;;;;;;;;;
INS_Datum_inschrijving;DatumInschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;;;;;;;;;;
INS_Datum_uitschrijving;DatumUitschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;;;;;;;;;;
INS_Verblijfsjaar_type_onderwijs_binnen_HO;VerblijfsjaarTypeHoBinnenSoortHo;TRUE;numeric;15,040618;0,9;27,4;NA;FALSE;;;;;;;;;;;
INS_Postcode_student_voor_HO;PostcodecijfersVanDeHoogsteVooroplVoorHetHo;TRUE;integer;29,360814;9;10996,7;NA;FALSE;;;;;;;;;;;
INS_Maand_inschrijving_van;MaandVanaf;TRUE;numeric;9,201656;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Maand_inschrijving_tot;MaandTot;TRUE;numeric;107,018845;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Maand_examenresultaat;MaandExamenresultaat;TRUE;numeric;92,377902;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Croho_sub_onderdeel;CrohoSubonderdeelActueleOpleiding;TRUE;numeric;9,201656;1,8;39,6;NA;FALSE;;;;;;;;;;;
INS_Verblijfsjaar_type_onderwijs;VerblijfsjaarTypeHoBinnenSoortHo;TRUE;numeric;15,040618;0,9;24,2;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_EER_naam;;FALSE;subset;0;NA;NA;NA;FALSE;;;;;;;;;;;
DEM_Indicatie_nationaliteit_EER_actueel;IndicatieEerActueel;TRUE;character;0;;;;FALSE;;;;;;;;;;;
DEM_Indicatie_nationaliteit_EER_peildatum;IndicatieEerOpPeildatum1Oktober;TRUE;character;0;;;;FALSE;;;;;;;;;;;
DEM_Indicatie_internationale_student;IndicatieInternationaleStudent;TRUE;character;0;;;;FALSE;;;;;;;;;;;
INS_Actuele_instelling;ActueleInstelling;TRUE;;;;;;;;;;;;;;;;;Inschrijvingsvorm
INS_Opleidingscode;Opleidingscode;TRUE;;;;;;;;;;;;;;;;;SoortHogerOnderwijs
INS_Vorm;Inschrijvingsvorm;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_hoger_onderwijs;SoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;DiplomajaarVanDeHoogsteVooroplBinnenHetHo
OPL_code_historisch;OpleidingHistorischEquivalent;TRUE;;;;;;;;;;;;;;;;;GeboortelandOuder1
OPL_Fase;Opleidingsfase;TRUE;;;;;;;;;;;;;;;;;GeboortelandOuder2
INS_Soort_inschrijving_soort_HO;SoortInschrijvingSoortHo;TRUE;;;;;;;;;;;;;;;;;Etniciteit
INS_Soort_inschrijvinge_type_HO_binnen_soort_HO;SoortInschrijvingTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;Generatie
INS_Soort_inschrijving_opleiding_actueel;SoortInschrijvingOpleidingActueelEquivalent;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaHogerOnderwijsInternatStatistiek
INS_Soort_inschrijving_actuele_opleiding_instelling;SoortInschrijvingActueleOpleidingInstelling;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaHogerOnderwijs
DEM_Geboorteland;Geboorteland;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaSoortHogerOnderwijs
DEM_Geboorteland_ouder_1;GeboortelandOuder1;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaInstelling
DEM_Geboorteland_ouder_2;GeboortelandOuder2;TRUE;;;;;;;;;;;;;;;;;DatumTekeningDiploma
DEM_Etniciteit;Etniciteit;TRUE;;;;;;;;;;;;;;;;;
DEM_Generatie;Generatie;TRUE;;;;;;;;;;;;;;;;;
INS_Inschrijvingsjaar_EI_gecorrigeerd;GecorrigeerdEersteJaarAanDezeInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Inschrijvingsjaar_EI_actuele_instelling;EersteJaarAanDezeActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_actuele_instelling_type_HO_binnen_soort_HO;SoortInschrijvingActInstTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaar_actuele_instelling_type_HO_binnen_soort_HO;IndicatieEerstejrsActInstTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Actuele_instelling_voor_besturenfusies;ActueleInstellingVoorBesturenfusies;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_type_HO_binnen_HO;SoortInschrijvingTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_type_HO_binnen_HO;VerblijfsjaarTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_HO;SoortInschrijvingContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_soort_HO;SoortInschrijvingContinuSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_actuele_instelling;SoortInschrijvingContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_type_HO_binnen_HO;SoortInschrijvingContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_HO;IndicatieEerstejaarsContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_soort_HO;IndicatieEerstejaarsContinuSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_actuele_instelling;IndicatieEerstejaarsContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_type_HO_binnen_HO;IndicatieEerstejaarsContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Indicatie_soort_programma;IndicatieSoortProgramma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer;Vestigingsnummer;TRUE;;;;;;;;;;;;;;;;;
INS_Datum_tekening_diploma;DatumTekeningDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_Diploma;VestigingsnummerDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_actueel;VestigingsnummerActueel;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_actueel_diploma;VestigingsnummerActueelDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_hoogste_vooropleiding_voor_HO;VestigingsnummerVanDeHoogsteVooroplVoorHetHo;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_Hoogste_vooropleiding_binnen_HO;VestigingsnummerVanDeHoogsteVooroplBinnenHetHo;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_Hoogste_vooropleiding;VestigingsnummerVanDeHoogsteVooropleiding;TRUE;;;;;;;;;;;;;;;;;
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_actueel;NationaliteitGebruiktVoorBepalingIndicatieEerActueel;TRUE;;;;;;;;;;;;;;;;;
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_peildatum;NationaliteitGebruiktVoorBepalingIndicatieEerPeildatum;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_opleiding;VerblijfsjaarActueleOpleiding;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_instelling;VerblijfsjaarActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_opleiding_instelling;VerblijfsjaarActueleOpleidingInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_instelling_type_HO_binnen_soort_HO;VerblijfsjaarActueleInstellingTypeHogerOnderwijsBinnenSoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_continu_HO;VerblijfsjaarContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Vverblijfsjaar_continu_soort_HO;VerblijfsjaarContinuSoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_continu_actuele_instelling;VerblijfsjaarContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verbliijfsjaar_continu_type_HO_binnen_HO;VerblijfsjaarContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Indicatie_University_College;IndicatieUniversityCollege;TRUE;;;;;;;;;;;;;;;;;
OPL_ISCEDF_2013_rubriek;ISCEDF2013Rubriek;TRUE;;;;;;;;;;;;;;;;;
DEM_Herkomst_land_volgens_CBS;HerkomstlandVolgensCbsDefinitie;TRUE;;;;;;;;;;;;;;;;;
DEM_Herkomst_indikking_volgens_CBS;HerkomstIndikkingVolgensCbsDefinitie;TRUE;;;;;;;;;;;;;;;;;
DEM_Indicatie_geboren;IndicatieGeboren;TRUE;;;;;;;;;;;;;;;;;
DEM_Burgerservicenummer;Burgerservicenummer;TRUE;;;;;;;;;;;;;;;;;
DEM_Onderwijsnummer;Onderwijsnummer;TRUE;;;;;;;;;;;;;;;;;
