names_croho,types,widths,position
OPL_Instellingscode,character,4,1
BRIN_volgnummer,integer,2,5
OPL_Onderwijsinstelling,character,70,7
Gemeentenaam,character,24,77
OPL_Onderdeel_CROHO,character,70,101
Subonderdeel,character,70,171
OPL_Code_in_jaar,integer,5,241
OPL_Opleidingsnaam_CROHO,character,225,246
Internationale_naam,character,225,471
INS_Opleidingsvorm,character,8,696
Datum_begin_opleiding,character,10,704
Datum_einde_instroom,character,10,714
Datum_einde_opleiding,character,10,724
OPL_Nominale_studielast_EC_aantal,integer,4,734
Grondslag_studielast,character,15,738
Studielast_VT,integer,3,753
Propedeutisch_examen,character,3,756
Eisen_te_verrichten_werkzaamheden,character,3,759
OPL_Bekostiging,character,15,762
OPL_Bekostigingsduur,integer,5,777
Inschrijving_met_deficientie,character,3,782
Beroepsvereisten,character,3,785
Datum_accreditatiebesluit,character,10,788
Datum_begin_accreditatie,character,10,798
Datum_uitstel_tot_accreditatie,character,10,808
Datum_einde_instroom_accreditatie,character,10,818
Datum_vervallen_accreditatie,character,10,828
Datum_redelijke_termijn,character,10,838
Reden_uitstel,character,150,848
Indicatie_aanmelding,character,10,998
Indicatie_soort_fixus,character,17,1008
Indicatie_decentrale_selectie,character,3,1025
Vervaldatum_decentrale_selectie,character,10,1028
Indicatie_aanvullende_eisen,character,3,1038
Afwijkende_VSL_code_RASP,character,5,1041
Code_stand_record,character,10,1046
OPL_Bekostigingsniveau,character,5,1056
Relatie_soort,character,20,1061
Relatie_BRIN,character,4,1081
Relatie_Opleidingscode,integer,5,1085
Indicatie_Intensief_programma,character,3,1090
Selectie-eisen_Intensief_programma,character,3,1093
Verhoogd_collegeld_Intensief_progr,character,3,1096
Onderwijscapaciteit,integer,4,1099
Versneld_traject,character,3,1103
Graad,character,20,1106
Graadtoevoeging,character,80,1126
Inleverdatum,character,10,1206
Datum voorwaarden,character,10,1216
Datum intrekking,character,10,1226
...51,character,1,1236